bucket,recommendation,evidence,artist_a,artist_b,source
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Sven Vath,Sven Väth,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Tone Depth,Tonedepth,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Beyonce,Beyoncé,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,I:Cube,I-Cube,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Raphael Guattari,Raphaël Guattari,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Ra-X,RAX,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Nick Leon,Nick León,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,UNI,U-N-I,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Curses,Curses!,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,T.Raumschmiere,T. Raumschmiere,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Leonie Pernet,Léonie Pernet,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Matvei,MATVEÏ,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Oliver,Oliver $,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Christopher Schwarzwalder,Christopher Schwarzwälder,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Chateau Flight,Château Flight,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Blaze,The Blaze,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Holy Ghost!,Holy Ghost,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Wolf + Lamb,Wolf & Lamb,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Lindström,Lindstrom,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Roisin Murphy,Róisín Murphy,
name_norm_collision,"MERGE (same artist, variant spelling)",exact_norm,Shlømo,Shlmo,
